merchant_id,merchant_name,merchant_category
1,E-Commerce Merchant 01,E-commerce
2,Travel Merchant 02,Travel
3,Groceries Merchant 03,Groceries
4,Utilities Merchant 04,Utilities
5,Food & Dining Merchant 05,Food & Dining
6,Healthcare Merchant 06,Healthcare
7,Education Merchant 07,Education
8,Entertainment Merchant 08,Entertainment
9,Transport Merchant 09,Transport
10,Retail Merchant 10,Retail
11,E-Commerce Merchant 11,E-commerce
12,Travel Merchant 12,Travel
13,Groceries Merchant 13,Groceries
14,Utilities Merchant 14,Utilities
15,Food & Dining Merchant 15,Food & Dining
16,Healthcare Merchant 16,Healthcare
17,Education Merchant 17,Education
18,Entertainment Merchant 18,Entertainment
19,Transport Merchant 19,Transport
20,Retail Merchant 20,Retail
21,E-Commerce Merchant 21,E-commerce
22,Travel Merchant 22,Travel
23,Groceries Merchant 23,Groceries
24,Utilities Merchant 24,Utilities
25,Food & Dining Merchant 25,Food & Dining
26,Healthcare Merchant 26,Healthcare
27,Education Merchant 27,Education
28,Entertainment Merchant 28,Entertainment
29,Transport Merchant 29,Transport
30,Retail Merchant 30,Retail
31,E-Commerce Merchant 31,E-commerce
32,Travel Merchant 32,Travel
33,Groceries Merchant 33,Groceries
34,Utilities Merchant 34,Utilities
35,Food & Dining Merchant 35,Food & Dining
36,Healthcare Merchant 36,Healthcare
37,Education Merchant 37,Education
38,Entertainment Merchant 38,Entertainment
39,Transport Merchant 39,Transport
40,Retail Merchant 40,Retail
41,E-Commerce Merchant 41,E-commerce
42,Travel Merchant 42,Travel
43,Groceries Merchant 43,Groceries
44,Utilities Merchant 44,Utilities
45,Food & Dining Merchant 45,Food & Dining
46,Healthcare Merchant 46,Healthcare
47,Education Merchant 47,Education
48,Entertainment Merchant 48,Entertainment
49,Transport Merchant 49,Transport
50,Retail Merchant 50,Retail
