transaction_id,timestamp,date_id,sender_bank_id,receiver_bank_id,payer_app,merchant_id,region_id,transaction_type,amount,device_type,status,failure_reason,hour_of_day,is_success,is_failed,merchant_category,zone
REAL0000001,2024-01-01 00:00:00,20240101,10,1,PhonePe,1,1,P2P,16.99,Mobile,Success,Unknown,0,1,0,E-commerce,West
REAL0000002,2024-01-01 01:00:00,20240101,8,6,Google Pay,2,2,P2M,10.34,Web,Success,Unknown,1,1,0,Travel,North
REAL0000003,2024-01-01 02:00:00,20240101,3,4,Paytm,3,3,P2P,21.01,POS,Success,Unknown,2,1,0,Groceries,South
REAL0000004,2024-01-01 03:00:00,20240101,7,6,BHIM,4,4,P2M,23.68,Mobile,Success,Unknown,3,1,0,Utilities,East
REAL0000005,2024-01-01 04:00:00,20240101,8,6,Amazon Pay,5,5,P2P,24.59,Web,Success,Unknown,4,1,0,Food & Dining,South
REAL0000006,2024-01-01 05:00:00,20240101,4,8,MobiKwik,6,6,P2M,25.29,POS,Failed,Bank Issue,5,0,1,Healthcare,West
REAL0000007,2024-01-01 06:00:00,20240101,8,6,PhonePe,7,7,P2P,8.77,Mobile,Success,Unknown,6,1,0,Education,North
REAL0000008,2024-01-01 07:00:00,20240101,9,7,Google Pay,8,8,P2M,26.88,Web,Success,Unknown,7,1,0,Entertainment,South
REAL0000009,2024-01-01 08:00:00,20240101,9,6,Paytm,9,9,P2P,15.04,POS,Success,Unknown,8,1,0,Transport,East
REAL0000010,2024-01-01 09:00:00,20240101,8,7,BHIM,10,10,P2M,14.78,Mobile,Success,Unknown,9,1,0,Retail,Central
REAL0000011,2024-01-01 10:00:00,20240101,7,7,Amazon Pay,1,1,P2P,10.27,Web,Success,Unknown,10,1,0,E-commerce,West
REAL0000012,2024-01-01 11:00:00,20240101,3,4,MobiKwik,2,2,P2M,35.26,POS,Success,Unknown,11,1,0,Travel,North
REAL0000013,2024-01-01 12:00:00,20240101,8,3,PhonePe,3,3,P2P,15.42,Mobile,Success,Unknown,12,1,0,Groceries,South
REAL0000014,2024-01-01 13:00:00,20240101,4,8,Google Pay,4,4,P2M,18.43,Web,Success,Unknown,13,1,0,Utilities,East
REAL0000015,2024-01-01 14:00:00,20240101,6,4,Paytm,5,5,P2P,14.83,POS,Success,Unknown,14,1,0,Food & Dining,South
REAL0000016,2024-01-01 15:00:00,20240101,4,6,BHIM,6,6,P2M,21.58,Mobile,Success,Unknown,15,1,0,Healthcare,West
REAL0000017,2024-01-01 16:00:00,20240101,4,2,Amazon Pay,7,7,P2P,10.33,Web,Success,Unknown,16,1,0,Education,North
REAL0000018,2024-01-01 17:00:00,20240101,2,5,MobiKwik,8,8,P2M,16.29,POS,Success,Unknown,17,1,0,Entertainment,South
REAL0000019,2024-01-01 18:00:00,20240101,10,6,PhonePe,9,9,P2P,16.97,Mobile,Success,Unknown,18,1,0,Transport,East
REAL0000020,2024-01-01 19:00:00,20240101,2,7,Google Pay,10,10,P2M,20.65,Web,Success,Unknown,19,1,0,Retail,Central
REAL0000021,2024-01-01 20:00:00,20240101,1,6,Paytm,1,1,P2P,17.92,POS,Success,Unknown,20,1,0,E-commerce,West
REAL0000022,2024-01-01 21:00:00,20240101,10,4,BHIM,2,2,P2M,20.29,Mobile,Success,Unknown,21,1,0,Travel,North
REAL0000023,2024-01-01 22:00:00,20240101,6,10,Amazon Pay,3,3,P2P,15.77,Web,Failed,Merchant Issue,22,0,1,Groceries,South
REAL0000024,2024-01-01 23:00:00,20240101,5,6,MobiKwik,4,4,P2M,39.42,POS,Success,Unknown,23,1,0,Utilities,East
