transaction_id,timestamp,date_id,sender_bank_id,receiver_bank_id,payer_app,merchant_id,region_id,transaction_type,amount,device_type,status,hour_of_day,failure_reason,is_success,is_failed
UPI0000001,2024-02-02 00:54:00,20240202,4,8,BHIM,49,1,P2M,83.2851440485974,Mobile,SUCCESS,13,None,1,0
UPI0000002,2024-10-10 17:44:00,20240507,3,9,Paytm,33,9,P2M,1223.7777659999226,Mobile,SUCCESS,15,None,1,0
UPI0000003,2024-08-27 05:12:00,20240919,1,6,BHIM,2,2,P2M,463.46660912674116,Tablet,SUCCESS,8,None,1,0
UPI0000004,2024-06-09 17:59:00,20240603,2,5,MobiKwik,7,2,P2P,591.6466776026493,Mobile,SUCCESS,15,None,1,0
UPI0000005,2024-06-07 13:59:00,20240302,2,1,Google Pay,34,4,P2M,245.16541180078715,Mobile,SUCCESS,17,None,1,0
UPI0000006,2024-11-10 04:02:00,20241226,2,7,Paytm,33,12,P2M,638.7611388846833,Mobile,SUCCESS,17,None,1,0
UPI0000007,2024-02-01 11:01:00,20240313,10,10,Google Pay,19,10,P2M,142.34213603453998,Tablet,SUCCESS,15,None,1,0
UPI0000008,2024-09-12 00:14:00,20240131,1,2,Paytm,33,5,P2M,568.027072182354,Mobile,SUCCESS,20,None,1,0
UPI0000009,2024-03-14 16:47:00,20240519,4,3,Google Pay,18,15,P2P,89.69240183084776,Mobile,SUCCESS,21,None,1,0
UPI0000010,2024-02-04 07:35:00,20240210,10,6,Paytm,24,15,P2M,1145.537817567673,Mobile,SUCCESS,5,None,1,0
UPI0000011,2024-07-11 09:30:00,20240804,2,6,PhonePe,9,2,P2M,1028.9668867585513,Mobile,SUCCESS,12,None,1,0
UPI0000012,2024-12-23 03:24:00,20240608,7,5,Paytm,48,1,P2M,227.94358640098153,Mobile,SUCCESS,21,None,1,0
UPI0000013,2024-09-26 08:28:00,20241205,3,2,Google Pay,32,15,P2P,188.03476562510957,Mobile,SUCCESS,8,None,1,0
UPI0000014,2024-10-05 09:38:00,20240302,4,5,PhonePe,14,9,P2P,665.0268489334013,Web,SUCCESS,16,None,1,0
UPI0000015,2024-09-19 05:03:00,20240408,5,6,Paytm,34,13,P2M,102.12684227090269,Mobile,SUCCESS,17,None,1,0
UPI0000016,2024-10-14 23:35:00,20240907,6,2,PhonePe,29,11,P2P,153.66041759945867,Mobile,SUCCESS,16,None,1,0
UPI0000017,2024-07-06 06:13:00,20240912,8,7,Paytm,15,13,P2P,1323.3452631433238,POS,SUCCESS,7,None,1,0
UPI0000018,2024-02-16 04:47:00,20240512,7,9,Paytm,7,7,P2M,239.42835135851297,POS,SUCCESS,20,None,1,0
UPI0000019,2024-11-03 13:11:00,20241203,1,1,Paytm,34,7,P2M,449.93921159753927,Mobile,SUCCESS,15,None,1,0
UPI0000020,2024-06-13 07:04:00,20241105,2,1,Paytm,20,15,P2P,67.04124700248578,Mobile,SUCCESS,21,None,1,0
UPI0000021,2024-07-02 10:26:00,20240811,7,6,Google Pay,14,10,P2P,612.8012114289502,Mobile,SUCCESS,1,None,1,0
UPI0000022,2024-05-15 17:26:00,20240930,3,8,Paytm,14,5,P2P,2076.204752133572,Mobile,SUCCESS,13,None,1,0
UPI0000023,2024-03-07 01:31:00,20240715,1,2,Amazon Pay,8,7,P2M,456.89356411875997,Mobile,SUCCESS,11,None,1,0
UPI0000024,2024-12-05 12:51:00,20240621,6,10,PhonePe,35,1,P2M,1489.2382279306844,Mobile,SUCCESS,23,None,1,0
UPI0000025,2024-10-13 00:41:00,20240718,4,5,Paytm,47,15,P2P,147.29613701046569,Mobile,SUCCESS,11,None,1,0
UPI0000026,2024-08-23 01:21:00,20241105,9,2,PhonePe,39,11,P2P,4611.694019262758,Mobile,SUCCESS,14,None,1,0
UPI0000027,2024-05-27 02:43:00,20240106,9,5,Google Pay,11,8,P2M,300.64420294501707,Mobile,SUCCESS,20,None,1,0
UPI0000028,2024-10-28 03:30:00,20240206,2,5,PhonePe,43,8,P2M,104.62058234586398,POS,SUCCESS,7,None,1,0
UPI0000029,2024-07-18 08:13:00,20240622,8,4,Paytm,25,15,P2M,45.96801749840783,POS,SUCCESS,19,None,1,0
UPI0000030,2024-06-11 22:01:00,20240731,9,6,PhonePe,13,10,P2P,751.5350580717378,Mobile,SUCCESS,11,None,1,0
UPI0000031,2024-06-13 21:00:00,20240306,7,3,Paytm,22,3,P2P,1334.9310520542044,Mobile,SUCCESS,18,None,1,0
UPI0000032,2024-03-24 02:13:00,20240809,7,10,Google Pay,33,9,P2P,40.38444814018707,Mobile,SUCCESS,5,None,1,0
UPI0000033,2024-02-03 23:49:00,20240109,5,3,PhonePe,33,1,P2M,629.9005554786011,Mobile,SUCCESS,12,None,1,0
UPI0000034,2024-07-21 15:27:00,20240331,5,9,MobiKwik,26,11,P2M,250.916055522687,Mobile,SUCCESS,12,None,1,0
UPI0000035,2024-11-20 13:27:00,20240617,1,9,PhonePe,23,11,P2M,1196.0930895991041,Mobile,SUCCESS,15,None,1,0
UPI0000036,2024-01-24 19:23:00,20240119,2,5,PhonePe,27,8,P2M,135.54257796301493,Web,SUCCESS,6,None,1,0
UPI0000037,2024-11-10 11:15:00,20240819,7,2,Google Pay,38,12,P2P,751.1125614088711,POS,SUCCESS,23,None,1,0
UPI0000038,2024-10-29 06:42:00,20240714,6,10,PhonePe,12,2,P2P,3323.880596469455,Mobile,SUCCESS,9,None,1,0
UPI0000039,2024-04-11 12:00:00,20240725,2,6,Paytm,15,2,P2M,172.36798877123405,Mobile,SUCCESS,13,None,1,0
UPI0000040,2024-08-19 17:36:00,20240707,4,4,PhonePe,36,1,P2M,113.51602333666794,Mobile,SUCCESS,19,None,1,0
UPI0000041,2024-03-01 16:56:00,20240910,7,2,Paytm,37,8,P2M,3326.242644437994,Mobile,SUCCESS,21,None,1,0
UPI0000042,2024-10-04 04:52:00,20240827,2,4,Google Pay,32,1,P2P,372.637694461631,Mobile,SUCCESS,14,None,1,0
UPI0000043,2024-09-13 22:22:00,20240829,3,7,Paytm,39,4,P2P,268.2629770417194,Mobile,SUCCESS,17,None,1,0
UPI0000044,2024-05-09 06:51:00,20240318,9,6,PhonePe,46,15,P2P,149.76969572232628,,SUCCESS,9,None,1,0
UPI0000045,2024-01-25 19:14:00,20240908,5,1,PhonePe,20,3,P2P,1379.9109126501733,Mobile,SUCCESS,16,None,1,0
UPI0000046,2024-12-21 07:14:00,20240306,5,8,Paytm,31,15,P2M,255.58295329873627,Web,SUCCESS,18,None,1,0
